"",question,label,question_ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
53,What is a common characteristic of the enzymes involved in glycolysis?,3,14,1,11,99,,5.07,,11,36.36,72.73,72.73,54.55,9.09,0,0,0,0,0,0,9.09,18.18,18.18,0,18.18,9.09,0,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
54,How do the standard Gibbs free energy change (ΔG°') and the cellular Gibbs free energy change (ΔG) for glycolytic reactions compare?,3,15,1,21,89.52,16.63,56.69,99,21,23.81,61.9,42.86,28.57,0,0,0,0,0,0,0,0,9.52,9.52,0,4.76,4.76,4.76,4.76,0,4.76,14.29,0,0,0,0,0,23.81,0,23.81,4.76,19.05,0,0,0,4.76,0,9.52,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,33.33,0,0,4.76,0,4.76,23.81,0
55,Which of the following best explains why the depletion of NAD+ levels would cause the second half of glycolysis to slow down?,2,23,1,22,99,17.46,50.45,,22,18.18,86.36,77.27,54.55,4.55,0,0,0,0,0,0,4.55,18.18,13.64,4.55,22.73,4.55,4.55,0,0,13.64,13.64,9.09,4.55,0,4.55,0,22.73,0,22.73,4.55,9.09,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,4.55,9.09,0,4.55,4.55,0,0,0,4.55,0,4.55,0,0,0,0,0,0,9.09,0,0,4.55,0,0,4.55,0
56,Which of the following assumptions supports the proposition that glycolysis is an ancient metabolic pathway?,3,13,1,15,96.08,10.48,93.95,,15,53.33,86.67,60,46.67,13.33,0,0,0,0,0,0,13.33,26.67,20,0,6.67,6.67,0,0,0,13.33,6.67,0,0,0,0,0,20,0,20,6.67,0,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,6.67,6.67,13.33,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
57,During the energy investment phase of glycolysis  how many ATP molecules are consumed?,0,17,1,13,96.67,,30.98,,13,30.77,53.85,46.15,46.15,0,0,0,0,0,0,0,0,15.38,7.69,0,15.38,7.69,7.69,0,0,7.69,7.69,7.69,0,0,0,0,7.69,0,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
58,Which of the following best explains the increased rate of glycolysis observed in the muscle cells under these conditions?,2,24,1,19,99,14.81,70.28,,19,31.58,84.21,73.68,47.37,10.53,0,0,0,0,0,0,10.53,21.05,15.79,0,21.05,0,0,0,0,10.53,5.26,10.53,5.26,0,5.26,0,10.53,0,10.53,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,15.79,5.26,0,10.53,5.26,0,0,0,5.26,5.26,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0
59,Which of the following molecules is directly produced at the end of the glycolysis pathway?,0,18,1,15,99,10.48,63.35,,15,40,80,60,53.33,6.67,0,0,0,0,0,0,6.67,20,20,0,20,6.67,0,0,0,13.33,0,0,0,0,0,0,6.67,0,6.67,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,6.67,0,6.67,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
60,Which of the following lists the correct overall reactants and products of glycolysis?,0,69,1,13,99,7.93,2.93,,13,46.15,76.92,69.23,46.15,7.69,0,0,0,0,0,0,7.69,15.38,15.38,0,15.38,0,0,7.69,0,7.69,15.38,0,0,0,0,0,15.38,0,15.38,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
61,Consider a scenario where a cell's concentration of NAD+ is significantly reduced. Which of the following outcomes would most likely occur during glycolysis as a result? Choose the best answer.,1,70,1,30,97.77,22.56,63.35,,10,26.67,80,63.33,50,3.33,0,0,0,0,0,0,3.33,20,16.67,0,13.33,6.67,6.67,3.33,0,13.33,10,3.33,3.33,0,3.33,0,30,0,30,13.33,6.67,3.33,3.33,0,3.33,0,0,0,0,0,0,0,0,0,0,0,3.33,3.33,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,3.33,0,3.33,0,0,0,3.33,0,3.33,0,0,0,0,0,0,16.67,6.67,0,3.33,0,3.33,3.33,0
62,Which of the following best explains why the mutant glyceraldehyde-3-phosphate dehydrogenase fails to produce 1 3-bisphosphoglycerate and NADH?,2,73,1,18,95.3,13.82,10.18,,18,33.33,83.33,55.56,38.89,5.56,0,0,0,0,0,0,5.56,11.11,11.11,16.67,11.11,0,5.56,5.56,0,11.11,5.56,0,11.11,0,11.11,0,16.67,0,16.67,5.56,5.56,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,22.22,0,0,5.56,0,0,16.67,0
63,In the glycolysis pathway  the reaction catalyzed by glyceraldehyde-3-phosphate dehydrogenase couples an exergonic redox reaction to an endergonic phosphate transfer. Which of the following comparisons best illustrates the nature of this coupling?,3,74,1,32,99,11.66,15.38,,16,50,71.88,50,40.63,6.25,0,0,0,0,0,0,6.25,21.88,18.75,3.13,15.63,0,0,0,0,3.13,3.13,3.13,3.13,0,3.13,0,15.63,0,15.63,0,9.38,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,3.13,0,3.13,0,0,6.25,0
64,What is the acid dissociation constant  Ka  and how is it related to the strength of an acid?,1,1,1,18,79.79,,39.59,93.93,18,22.22,77.78,66.67,61.11,11.11,0,0,0,0,0,0,11.11,16.67,16.67,0,11.11,11.11,5.56,5.56,0,11.11,5.56,0,5.56,0,0,5.56,11.11,0,11.11,11.11,5.56,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,11.11,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0
65,Given that the dissociation constant (Ka) of the weak acid HX is 1.0 x 10^-5  which of the following statements best describes the behavior of HX in a solution with a pH of 4.0?,2,4,1,35,99,24.76,11.24,1.98,35,20,74.29,57.14,42.86,5.71,0,0,0,0,0,0,5.71,20,17.14,11.43,17.14,2.86,0,0,0,8.57,8.57,0,8.57,0,5.71,2.86,5.71,0,5.71,2.86,0,0,0,0,2.86,0,2.86,0,2.86,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.86,0,0,2.86,0,0,0,2.86,2.86,2.86,0,0,0,0,0,0,20,5.71,0,2.86,0,0,11.43,0
66,Given that the acid dissociation constant (Ka) of acetic acid is 1.8 x 10^-5 and the Ka of hydrochloric acid (HCl) is 1 x 10^7  which statement best describes their dissociation behavior at a pH of 2?,3,5,1,39,92.63,40.06,1,,39,17.95,61.54,41.03,33.33,7.69,2.56,0,0,0,0,2.56,5.13,12.82,7.69,17.95,10.26,5.13,0,2.56,0,7.69,5.13,0,2.56,0,2.56,0,2.56,0,2.56,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,5.13,2.56,0,0,0,0,2.56,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,2.56,2.56,5.13,0,0,0,0,0,0,23.08,2.56,0,2.56,0,0,17.95,0
67,Which of the following represents the acid dissociation constant  Ka  for a weak acid?,0,7,1,14,99,9.23,24.32,1,14,28.57,71.43,71.43,42.86,7.14,0,0,0,0,0,0,7.14,21.43,21.43,0,14.29,0,0,0,0,14.29,14.29,0,7.14,0,0,7.14,14.29,0,14.29,0,0,0,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0
68,Which statement correctly describes the relationship between pKa and acid strength?,0,9,1,11,89.52,40.06,50.45,99,11,54.55,63.64,36.36,36.36,9.09,0,0,0,0,0,0,9.09,9.09,9.09,0,9.09,0,0,9.09,0,0,0,0,18.18,9.09,0,9.09,9.09,0,9.09,0,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
69,A solution of formic acid (HCOOH) has a pKa of 3.75. If the pH of the solution is adjusted to 2.75  what is the likely protonation state of the formic acid molecules?,1,13,1,32,99,11.66,15.38,,16,15.63,68.75,53.13,50,3.13,0,0,0,0,0,0,3.13,18.75,18.75,6.25,15.63,9.38,0,3.13,0,9.38,3.13,0,6.25,0,6.25,0,15.63,0,15.63,6.25,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,18.75,9.38,0,3.13,0,0,6.25,0
70,Using the pKa value provided  what is the ratio of the deprotonated form [A-] to the protonated form [HA] of the weak acid HA in a solution with a pH of 6?,2,14,1,32,99,,1.63,1.56,32,12.5,75,65.63,50,3.13,0,0,0,0,0,0,3.13,25,25,3.13,18.75,3.13,0,0,0,6.25,3.13,3.13,6.25,0,3.13,3.13,6.25,0,6.25,3.13,3.13,0,0,0,0,0,3.13,0,3.13,0,0,0,0,0,0,0,3.13,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,3.13,0,0,0,0,3.13,3.13,0,6.25,6.25,0,0,0,18.75,0,0,3.13,0,0,15.63,0
71,Which of the following pairs correctly compares the pKa values and dissociation behavior of the given acids and bases?,3,16,1,19,98,3.34,8.42,,19,26.32,57.89,52.63,42.11,5.26,0,0,0,0,0,0,5.26,15.79,15.79,0,10.53,0,0,10.53,0,10.53,0,0,0,0,0,0,10.53,0,10.53,0,0,0,0,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0
72,A solution contains a functional group with a pKa of 6.0. If the pH of the solution is adjusted to 7.0  what is the likely protonation state of this functional group?,1,18,1,31,99,40.06,35.88,,15.5,22.58,80.65,54.84,51.61,6.45,0,0,0,0,0,0,6.45,22.58,19.35,6.45,16.13,6.45,0,3.23,0,6.45,3.23,0,6.45,0,6.45,0,16.13,0,16.13,6.45,0,0,6.45,0,6.45,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,3.23,0,0,0,0,0,6.45,0,0,0,0,0,0,12.9,9.68,0,3.23,0,0,0,0
73,A functional group has a pKa of 6.5. In a solution with a pH of 8.5  what is the likely protonation state of this functional group?,0,20,1,26,99,81.78,2.93,,13,15.38,76.92,57.69,53.85,7.69,0,0,0,0,0,0,7.69,23.08,19.23,7.69,19.23,7.69,0,0,0,7.69,3.85,0,3.85,0,3.85,0,7.69,0,7.69,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,3.85,0,0,0,0,0,7.69,0,0,0,0,0,0,15.38,11.54,0,3.85,0,0,0,0
74,Based on the given pKa and pH values  what will be the predominant protonation state of the carboxylic acid functional group in the solution?,2,22,1,24,98.55,64.67,3.81,,24,20.83,62.5,54.17,45.83,4.17,0,0,0,0,0,0,4.17,16.67,16.67,0,12.5,8.33,0,4.17,0,16.67,0,0,4.17,0,4.17,0,8.33,0,8.33,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,4.17,0,0,0,0,4.17,0,4.17,0,0,0,0,0,4.17,0,0,4.17,0,0,0,0
75,A molecule has a functional group with a pKa of 6.5. Predict the protonation state of this functional group at a pH of 4.5  6.5  and 8.5.,3,23,1,27,99,80.61,,,13.5,18.52,74.07,48.15,48.15,3.7,0,0,0,0,0,0,3.7,22.22,18.52,14.81,18.52,3.7,0,3.7,0,3.7,0,0,0,0,0,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7,0,0,0,0,0,22.22,22.22,0,0,0,0,0,0
76,Which statement best predicts the behavior of a carboxyl group (R-COOH) in a biomolecule at a pH of 3?,0,24,1,19,99,40.06,8.42,,19,26.32,68.42,52.63,47.37,5.26,0,0,0,0,0,0,5.26,21.05,21.05,5.26,21.05,0,0,0,0,0,5.26,0,5.26,0,5.26,0,10.53,0,10.53,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,5.26,0,0,0,0,0,0,5.26,0,0,0,0,0,21.05,0,0,5.26,0,0,15.79,0
77,A scientist is studying a biomolecule with a carboxylic acid functional group (pKa between 2-4). She introduces the biomolecule into a solution with a pH of 6. What can she predict about the protonation state of the carboxylic acid functional group?,1,25,1,41,99,88.82,1,,13.67,31.71,70.73,48.78,48.78,7.32,4.88,0,0,0,4.88,0,2.44,19.51,19.51,4.88,17.07,4.88,2.44,0,0,4.88,0,0,2.44,0,2.44,0,9.76,0,9.76,2.44,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0,0,0,9.76,0,0,4.88,0,0,0,0,0,4.88,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,4.88,0,0,4.88,0,0,0,0,0,4.88,2.44,0,0,0,0,0,14.63,4.88,0,2.44,0,0,7.32,0
78,If the enzyme is placed in a solution with a pH of 5.5  what is the protonation state of the carboxylic acid group and how might this affect the enzyme's activity?,2,26,1,31,95.94,40.06,35.88,,31,16.13,74.19,61.29,58.06,6.45,0,0,0,0,0,0,6.45,22.58,19.35,3.23,12.9,9.68,3.23,6.45,0,12.9,0,0,3.23,0,3.23,0,16.13,0,16.13,6.45,6.45,0,6.45,0,3.23,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,6.45,0,0,0,0,3.23,6.45,3.23,0,0,0,0,0,9.68,3.23,0,3.23,0,3.23,0,0
79,A protein contains a carboxylic acid functional group with a pKa of 3.5 and an amine functional group with a pKa of 9. What is the most likely protonation state of these functional groups at a pH of 7  and how might this influence the protein's structure and function?,3,27,1,49,98.48,74.89,1,,24.5,22.45,69.39,53.06,51.02,6.12,0,0,0,0,0,0,6.12,22.45,16.33,6.12,14.29,4.08,2.04,6.12,0,4.08,4.08,2.04,2.04,0,0,2.04,8.16,0,8.16,2.04,4.08,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,2.04,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,2.04,0,0,0,0,0,2.04,2.04,0,0,0,0,0,8.16,4.08,0,2.04,0,2.04,0,0
