QUESTION,BT LEVEL
 Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analysis
List three characteristics that are unique to the Cubist movement.,Knowledge
Classify celebrations into family and community categories.,Comprehension
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis
Identify ordinal positions,Knowledge
Identify fractions from a pictorial representation,Knowledge
Select the best title for a passage,Comprehension
Evaluate board games and justify why rules are important.,Evaluation
Organize this book into three or more sections and give your own subtitle for each section.,Synthesis
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Synthesis
Use the E-pH or Pourbaix diagram of Cr to determine the control current and potential for the anodic protection of a S43000 stainless steel vessel.  ,Comprehension
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Application
Which of the two liquids is hypotonic ,Knowledge
Design a poster for this book.,Synthesis
Is there a better solution to . . .?,Evaluation
Relate the principle of reinforcement to classroom interactions.,Application
Compose a class story.,Synthesis
Describe what goes in each of the four areas on the first page of notes,Comprehension
Judge aesthetic qualities and relationship to future values.,Evaluation
Compare how different children come to school.,Analysis
Justify your choice of data structure.,Synthesis
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysis
How did Chinese newspapers differ from US,Analysis
Label the parts of the following insects: Grasshopper,Knowledge
recall the supply voltage constraints,Knowledge
Can you differentiate between ethnic Chinese and ethnic Koreans,Analysis
What is the setting of To Kill a Mockingbird?,Knowledge
  Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application
Write a short story relating a personal experience in the style of a picaresque novel.,Synthesis
Predict the differences of a planet with no seasonal changes.,Synthesis
"If notes are available on the professor’s website, how should those notes be used?",Application
Are there students who should not use the Cornell method?,Evaluation
Create an equation to represent the solution to this problem.,Synthesis
When did you born ?,Knowledge
in which continent does the state of suriname fall,Knowledge
Revises and process to improve the outcome.,Synthesis
Why don’t you devise your own way to deal with . . .?,Synthesis
How do psychologists differ in their general attitudes toward third party presence,Analysis
Develop a plan for a new Olympic Bid System.,Synthesis
How does your pet differ from other animals?,Analysis
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysis
Take a collection of photographs to demonstrate a particular point.,Application
Explain the whole method of crushing,Comprehension
Do you think . . . is a good or a bad thing?,Evaluation
how the investigation was undertaken,Analysis
Decide which method of solving a problem was most effective ,Evaluation
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluation
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Evaluation
 How do we differentiate between an interview and an interrogation?,Analysis
How to construct simple solutions when problems are complex?,Application
Recall the following pictoral example of an implementation of some queue operations,Knowledge
 Estimate the epicentral coordinates of the earth-quake,Evaluation
Contrast building in the coastal zone with building in a river floodplain.,Analysis
suggest ways in which it could have responded more effectively,Evaluation
Relate topographic map to field features,Application
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation
Identify the correct definition of osmosis.,Knowledge
 would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension
Judge the value of . . .?,Evaluation
Decide which course of action was most effective ,Evaluation
List the steps involved in titration.,Knowledge
How do we construct agents that can deliver. “good” assistance,Application
Estimate the difficulty of the question,Evaluation
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application
design a cost effective strategy to generate reliable data.,Synthesis
Retell the story in your words.,Comprehension
How would you decide about...?,Evaluation
"Draw 3 pictures showing the beginning, middle and ending of the story.",Application
List four types of clauses mentioned in the article,Knowledge
How do teenagers use code in emails and instant messages?,Application
when was the first airport in the yemen built,Knowledge
Calculate for x in the following equation: 12x=36,Application
State in your own words the rule for balls and strikes in baseball.,Comprehension
Plan a research paper on a given historical topic,Synthesis
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluation
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Knowledge
Can you distinguish pot still rums from column still rums by taste,Analysis
Write a logically organized argument in favor of a given position.,Synthesis
Compare and contrast animals that the class has made.,Analysis
Explain in your own words what do you mean by the term economics?,Comprehension
How much did he pay for his car,Knowledge
Explain how Timothy saved Phillip's life.,Comprehension
State the rule for using a semicolon in a sentence.,Knowledge
Name one character. Rewrite the story from this character's point of view.,Synthesis
when did the first saudi radio station open,Knowledge
List the characteristics peculiar to the Cubist movement.,Knowledge
In one sentence explain the main idea of a written passage.,Comprehension
Classify types of corrosion inhibitors  ,Comprehension
"Show, through role-play, the final scene in the novel.",Application
"improved, reformed or rejected?",Evaluation
Show how E-CRM can be used to improve marketing positioning as explained in the article,Application
"Divide the story into initiating event, rising action, climax, and falling action",Analysis
Evaluate the corrosion monitoring needs of a chemical processing plant ,Evaluation
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluation
Do you agree...?,Evaluation
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Synthesis
 Develop a network based on the following information: Activity Immediate predecessors,Synthesis
List the levels in Bloom's Taxonomy.,Knowledge
 Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Application
From a blueprint to describe the article depicted.,Comprehension
Apply laws of statistics to evaluate the reliability of a written test.,Application
Select the most effective solution.,Evaluation
How would you show your understanding of the ABC process,Application
Make a list of facts you learned from the story.,Knowledge
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Application
Combine any two sports to develop a new Olympic sport.,Synthesis
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Synthesis
Compare fall and spring,Analysis
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,Application
What questions would you ask if . . .?,Application
Construct an analog circuit with the following specifications,Application
Place the following in order of priority...,Evaluation
How was this similar to . . .?,Analysis
Summarize the main point of these two texts in your own words ,Comprehension
Do you devise a systematic approach in order to get larger progressions,Synthesis
Draw a picture of the bears' house.,Application
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Synthesis
What do you think is the best thing about coming to Viestal?,Evaluation
Who was the writer of the Hamilton ,Knowledge
How does one specify the syntactical restrictions,Application
Devise a new economic system based on the ones that already exist.,Synthesis
Analyze the characteristics of frogs.,Analysis
Draw the basic outline of a page of notes using the Cornell Method?,Knowledge
Correctly label the brain lobes indicated on the diagram below,Knowledge
Which technology is used by laser printer,Knowledge
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article ",Analysis
How do we differentiate between genuine buyer and undercover buyer,Analysis
How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluation
 How do you construct foliations on a given manifold M?,Application
" Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Comprehension
Can you develop a proposal which would . . .?,Synthesis
Identify the five major prophets of the Old Testament.,Knowledge
Tell in your own words how the setting of the story made it more interesting.,Comprehension
 Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Application
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysis
Draw a picture of the gown Cinderella wore to the ball.,Application
If you had access to all resources how would you deal with . . .?,Synthesis
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis
Compare three celebrations using a Venn diagram.,Analysis
Analyze safe and dangerous aspects of these features.,Analysis
How would you create/design a new...?,Synthesis
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Evaluation
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis
How does Hawaii contrast and compare to Florida?,Analysis
State the characteristics of each type of corrosion testing studied,Knowledge
Discuss the nature of socialism.,Comprehension
Recall basic math facts,Knowledge
Estimate expenditure on HIV/AIDS education,Evaluation
Construct a simple payroll program that computes net pay for those working 40 hours or less and net pay for those working over 40 hours.,Application
What criteria would you use to assess...?,Evaluation
Design costumes for the characters.,Synthesis
Compose a simple rap or rhyme about zoo animals.,Synthesis
Can you distinguish aged rums from unaged rums by smell,Analysis
In one sentence illustrate the main point of a written passage.,Comprehension
Analyze the movements and sounds of a frog.,Analysis
State the definition of application in Bloom's Taxonomy.,Knowledge
Can you compare your . . . with that presented in . . .?,Analysis
Can you state in your own words what the problem is asking you to do,Comprehension
Predict what will happen next in.,Evaluation
Compose a rhythm or put new words to a known melody.,Synthesis
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluation
Explain in your own words what a recessive gene is.,Comprehension
Apply your understanding the Olympic spirit to develop a new motto or slogan.,Application
Identify one problem in the book and give an alternate solution one not given by the author.,Synthesis
Compare the place where the story happened with where you live.,Analysis
"structure, sorts the list in ascending order, displays the list on the screen and stores the list",Synthesis
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluation
"In your own words, how would you summarize the story up ",Comprehension
State the formula for the area of a circle,Knowledge
Can you create new and unusual uses for . . .?,Synthesis
Select the athlete of the century and analyze why you chose this person.,Analysis
Can you design a . . . to . . .?,Synthesis
Conduct an investigation to produce information to support a view.,Analysis
Compare and contrast our school to other communities.,Analysis
How many states are there in USA,Knowledge
Do you think that this statement conveys the idea that i am trying to portray,Evaluation
About what proportion of the population of the US is living on farms?,Knowledge
What would you do if a heavy growth of bacteria had occurred ,Application
Invent a machine to do a specific task.,Synthesis
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluation
Define the meaning of the Olympic Motto.,Knowledge
Assess the importance of understanding seasonal patters.,Evaluation
Use Laplace to solve the following problems,Application
How many years does this animal live?,Knowledge
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluation
"Identify a property (commutative, additive, etc(",Knowledge
Revise and process to improve the outcome.,Synthesis
Briefly describe the author's approach to the liabilities of the GOTO statement,Comprehension
"If your story happened in a foreign land, compare that land to the United States.",Analysis
Are you a . . . person?,Evaluation
Compute the area of actual circles.,Application
 Construct one Turing Machine for computing each of the following functions,Application
Design a new animal to live in the jungle.,Synthesis
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Comprehension
List reserved words in C programming.,Knowledge
Develop a SQA Plan for a software development project which is defined in the attached document.,Synthesis
Specify a deterministic finite automaton (DFA) recognizing the,Application
Evaluate appropriate and inappropriate actions of characters.,Evaluation
Appraise the speech's effectiveness based upon the class' criteria.,Evaluation
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluation
Use the rule for a semicolon in a sentence.,Application
Compare and contrast two characters in the book.,Analysis
"Rewrite the sentence in your head, following the direction given below",Comprehension
What do you think is the mass and why,Evaluation
Compare two of the characters in this book.,Analysis
Explain what a poem means.,Comprehension
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluation
Interpret the pictures.,Comprehension
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysis
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysis
How many loop statement available in c++?,Knowledge
Describe what took place as the Hato was sinking.,Comprehension
Who is the first president   of USA,Knowledge
Justify the title To Kill a Mockingbird .,Evaluation
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Evaluation
What would you predict/infer from...?,Synthesis
State four attributes of well engineered software.,Knowledge
Make a diagnosis or analyze a case study.,Analysis
Describe nuclear transport to a lay person.,Comprehension
"Evaluate a work of art, giving the reasons for your evaluation.",Evaluation
Recall locations of a historical events,Knowledge
Create a storyboard for a sequel to your book. Use the same characters.,Synthesis
How does Tdap differ from Td vaccine,Analysis
Estimate roughly how long the collision process takes,Evaluation
Break down the main actions of the story.,Analysis
How could we determine the number of pennies in a jar without counting them?,Synthesis
Compose music for a frog play.,Synthesis
Define four types of traceability.,Knowledge
What is  your family name,Knowledge
Draw and label a diagram of a typical stream.,Knowledge
How much is your weight,Knowledge
How is scientific progress similar to Darwinian evolution according to Kuhn,Analysis
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluation
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluation
 Examine carefully the given map extract on the following page to help you work out the exercise below.,Analysis
Construct a Venn diagram to determine the validity of the given argument.,Application
Distinguish between the following giving suitable examples,Analysis
Compare herbatious and carnivorous animals on a Venn diagram.,Analysis
Draw the block diagram of the central processing unit ,Knowledge
What would result if …,Application
Describe 4 types of coupling in software design.,Comprehension
Recall the definition of the formula datatype from your assignment 2.,Knowledge
What are major facts about particular cultures and societies,Knowledge
Can you find four different feelings Pa Lia had during the story?,Analysis
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Application
Show me how you would check the brake lights are working on this car,Application
Draw the flow chart of the PNK system,Knowledge
Compare Calliope with Howie. Use the word bank.,Comprehension
Investigate innovations that can enhance future Olympics.,Analysis
Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Application
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Comprehension
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Comprehension
How would you change the story to create a different ending?,Synthesis
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Evaluation
State the guidelines to design an anodic protection system,Knowledge
Create a new product. Give it a name and plan a marketing campaign.,Synthesis
Describe how the linear polarization method can yield corrosion rates,Comprehension
What is a textual index,Knowledge
Construct the 4-Bit Ripple carry Adder Circuit,Application
How is . . . similar to . . .?,Analysis
How does autonomy differ with age,Analysis
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluation
Critically examine the strengths and weaknesses of the positivist paradigm,Analysis
Rewrite a part in the poem using a different speaker,Comprehension
when was the UN formed ,Knowledge
Select the best proposal for a proposed water treatment plant.,Evaluation
How was life different in your town 100 years ago?,Analysis
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Application
Write a poem about this book.,Synthesis
 Examine the differences between the model excluding the most influential observation and the model including all observations.,Analysis
How do you analyze a marginally RCT ,Analysis
Make a scrapbook about the areas of study.,Application
Develop and execute a program for this exercise,Synthesis
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluation
Describe what happened at...?,Comprehension
Can you defend your position about . . .?,Evaluation
Use a manual to calculate an employee's vacation time.,Application
 How can we combine and abstract facts about a software system to create new knowledge?,Synthesis
Choose and illustrate the two most important events in the story.,Evaluation
How would you restructure the school day to reflect children's developmental needs?,Synthesis
How effective are . . .?,Evaluation
Derive a kinetic model from experimental data.,Application
Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis
Make up a puzzle game using the ideas from the study area.,Application
Distinguish facts from hypotheses,Analysis
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Application
Integrate training from several sources to solve a problem.,Synthesis
Describe the major clinical differences between visceral and somatic pain,Comprehension
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysis
State the pattern for expressing time in French.,Knowledge
Tell in your own words the beginning of the book.,Comprehension
Model an Olympic Village for the new Millenium.,Application
Name the property that states that,Knowledge
Define mercantilism.,Knowledge
What is the most important...?,Evaluation
Describe how Phillip and Timothy survived on the Cay.,Comprehension
judge the difficulty level for yourself.,Evaluation
Can you write a new recipe for a tasty dish?,Synthesis
Describe in your own words what happens when a stream's velocity slows.,Comprehension
Construct a market strategy for your product using a known strategy as a model.,Application
Show how they have used creative writing strategies appropriate to the format,Application
Identify the standard peripheral components of a computer.,Knowledge
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Application
